number of users, items, ratings:  7375 105114 5
[20,   200] loss: 0.824, The best rmse/mae: 0.963498 / 0.747989
[20,   300] loss: 0.817, The best rmse/mae: 0.963498 / 0.747989
[20,   400] loss: 0.810, The best rmse/mae: 0.963498 / 0.747989
[20,   500] loss: 0.817, The best rmse/mae: 0.963498 / 0.747989
[20,   600] loss: 0.827, The best rmse/mae: 0.963498 / 0.747989
[20,   700] loss: 0.815, The best rmse/mae: 0.963498 / 0.747989
[20,   800] loss: 0.807, The best rmse/mae: 0.963498 / 0.747989
[20,   900] loss: 0.817, The best rmse/mae: 0.963498 / 0.747989
[20,  1000] loss: 0.819, The best rmse/mae: 0.963498 / 0.747989
[20,  1100] loss: 0.836, The best rmse/mae: 0.963498 / 0.747989
[20,  1200] loss: 0.832, The best rmse/mae: 0.963498 / 0.747989
[20,  1300] loss: 0.796, The best rmse/mae: 0.963498 / 0.747989
[20,  1400] loss: 0.836, The best rmse/mae: 0.963498 / 0.747989
[20,  1500] loss: 0.836, The best rmse/mae: 0.963498 / 0.747989
[20,  1600] loss: 0.843, The best rmse/mae: 0.963498 / 0.747989
[20,  1700] loss: 0.826, The best rmse/mae: 0.963498 / 0.747989
rmse: 0.9949, mae:0.7974
[21,     0] loss: 0.009, The best rmse/mae: 0.963498 / 0.747989
[21,   100] loss: 0.811, The best rmse/mae: 0.963498 / 0.747989
[21,   200] loss: 0.808, The best rmse/mae: 0.963498 / 0.747989
[21,   300] loss: 0.827, The best rmse/mae: 0.963498 / 0.747989
[21,   400] loss: 0.837, The best rmse/mae: 0.963498 / 0.747989
[21,   500] loss: 0.799, The best rmse/mae: 0.963498 / 0.747989
[21,   600] loss: 0.812, The best rmse/mae: 0.963498 / 0.747989
[21,   700] loss: 0.842, The best rmse/mae: 0.963498 / 0.747989
[21,   800] loss: 0.807, The best rmse/mae: 0.963498 / 0.747989
[21,   900] loss: 0.831, The best rmse/mae: 0.963498 / 0.747989
[21,  1000] loss: 0.796, The best rmse/mae: 0.963498 / 0.747989
